3396.12 8.5e-09 2.9e-08 
3395.35 1.4e-08 6.85e-08 
3394.4 3.7e-08 2.9e-08 
3393.33 3.15e-08 6.05e-08 
3392.24 1.95e-08 4.5e-08 
3391.09 2.2e-08 3.7e-08 
3390.04 6.5e-09 5.95e-08 
3389.24 2.5e-09 4.9e-08 
3388.78 -9e-09 5.2e-08 
3388.59 2.5e-09 2.25e-08 
3388.54 9e-09 5.8e-08 
3388.57 3.1e-08 2.5e-08 
3388.65 -2e-09 3.35e-08 
3388.66 2.05e-08 6.95e-08 
3388.4 -5e-10 4.3e-08 
3387.89 2.1e-08 3.9e-08 
3387.34 1.6e-08 6.1e-08 
3386.74 1.75e-08 5.5e-08 
3386.23 1.15e-08 5.75e-08 
3385.79 2.3e-08 6.3e-08 
3385.45 -1.25e-08 7.55e-08 
3385.2 1.8e-08 6.8e-08 
3384.92 5e-10 5.2e-08 
3384.62 1.75e-08 4.95e-08 
3384.38 5.3e-08 4.9e-08 
3384.12 2.2e-08 5.15e-08 
3384.01 1.85e-08 5.25e-08 
3383.91 3.1e-08 2.8e-08 
3383.69 1.95e-08 9.05e-08 
3383.43 1.35e-08 4.15e-08 
3383.14 2.25e-08 8.35e-08 
3382.87 1.05e-08 4.65e-08 
3382.67 8.5e-09 5.65e-08 
3382.56 2.15e-08 4.95e-08 
3382.54 0 8e-08 
3382.56 9.5e-09 4.05e-08 
3382.73 -3.5e-09 7.95e-08 
3383 4.5e-09 2.2e-08 
3383.28 -1.3e-08 6.85e-08 
3383.6 4.2e-08 5.1e-08 
3383.92 1.3e-08 6.3e-08 
3384.19 6.5e-09 5.3e-08 
3384.45 4.4e-08 4.1e-08 
3384.64 4e-09 7e-08 
3384.89 3.2e-08 4.9e-08 
3385.17 1.1e-08 5.1e-08 
3385.45 3e-08 6.3e-08 
3385.88 2.1e-08 3.55e-08 
3386.39 9.5e-09 4.95e-08 
3386.97 9.5e-09 5.75e-08 
3387.64 4.2e-08 2.3e-08 
3388.35 1.2e-08 5.2e-08 
3389.03 1.4e-08 5.3e-08 
3389.63 1.3e-08 1.15e-08 
3390.06 4.05e-08 5.95e-08 
3390.41 -4e-09 4.05e-08 
3390.67 1.45e-08 5.6e-08 
3390.95 1.05e-08 5.85e-08 
3391.16 -1.55e-08 6e-08 
3391.48 1.8e-08 5.95e-08 
3391.82 6e-09 5.85e-08 
3392.02 -3e-09 4.1e-08 
3391.93 4e-09 4.7e-08 
3391.55 0 6e-08 
3390.98 2.85e-08 1.85e-08 
3390.39 1.1e-08 4.3e-08 
3389.86 2.4e-08 4.75e-08 
3389.46 1.65e-08 6.55e-08 
3389.14 2.1e-08 3.2e-08 
3388.85 1.95e-08 8.05e-08 
3388.65 1.45e-08 4.4e-08 
3388.47 8.5e-09 7.65e-08 
3388.29 1.2e-08 6.1e-08 
3388.16 -4e-09 5.35e-08 
3388.1 3.5e-09 4.9e-08 
3388.12 1.05e-08 4.6e-08 
3388.04 1.05e-08 2.65e-08 
3387.94 1.95e-08 4.35e-08 
3387.79 9.5e-09 4e-08 
3387.68 3.35e-08 3.1e-08 
3387.62 7e-09 4.9e-08 
3387.53 1.75e-08 5.2e-08 
3387.44 1.8e-08 5.3e-08 
3387.2 2.9e-08 6.8e-08 
3386.84 2.1e-08 7.1e-08 
3386.22 2.75e-08 4.85e-08 
3385.46 5e-10 5.5e-08 
3384.71 1.6e-08 8.45e-08 
3384 -5.5e-09 4.9e-08 
3383.34 2.9e-08 3.95e-08 
3382.73 3.5e-09 4.95e-08 
3382.19 2.3e-08 5.9e-08 
3381.71 2.05e-08 5.85e-08 
3381.28 2.5e-09 4.85e-08 
3380.9 1.8e-08 6.95e-08 
3380.59 4e-08 6.55e-08 
3380.22 1.6e-08 7.3e-08 
3379.74 4.15e-08 5.05e-08 
3379.09 1e-09 7.85e-08 
3378.2 1.15e-08 8.25e-08 
3377.15 1.5e-08 4.4e-08 
3376.19 1.5e-09 5.4e-08 
3375.43 -1.1e-08 6.6e-08 
3374.77 1.4e-08 3.8e-08 
3374.13 -1.9e-08 5.65e-08 
3373.45 -5e-09 2.65e-08 
3372.85 -1.35e-08 2.3e-08 
3372.3 -6.5e-09 4.95e-08 
3371.85 -2e-09 6.55e-08 
3371.39 1.2e-08 4.7e-08 
3370.75 1.25e-08 6.55e-08 
3369.86 4.5e-09 6.2e-08 
3368.73 2.45e-08 7.1e-08 
3367.64 -1.7e-08 5.5e-08 
3366.73 1.95e-08 4.8e-08 
3365.98 2.95e-08 3.55e-08 
3365.35 8.5e-09 6.6e-08 
3364.86 -2.05e-08 8.2e-08 
3364.37 1.1e-08 3.75e-08 
3363.9 -6.5e-09 6e-08 
3363.45 4.7e-08 3.85e-08 
3362.63 -7.5e-09 3.55e-08 
3361.55 2.55e-08 5.35e-08 
3360.43 3.75e-08 5.3e-08 
3359.24 1.85e-08 4.65e-08 
3358.17 4e-09 4.2e-08 
3357.19 2e-08 6.75e-08 
3356.42 2e-08 6.2e-08 
3355.82 2.35e-08 4.25e-08 
3355.33 9.5e-09 6.2e-08 
3354.83 7e-09 5.95e-08 
3354.2 3.5e-09 2.8e-08 
3353.45 5.5e-09 5.55e-08 
3352.53 3e-09 6.2e-08 
3351.58 1.65e-08 5.7e-08 
3350.66 2.1e-08 5.25e-08 
3349.82 3.45e-08 3.45e-08 
3349.02 3.1e-08 5.15e-08 
3348.25 1.4e-08 6.45e-08 
3347.52 5.5e-09 5.65e-08 
3346.91 1.3e-08 4.95e-08 
3346.32 2.1e-08 5.85e-08 
3345.7 1.1e-08 5.95e-08 
3345 8.5e-09 6.65e-08 
3344.12 1.2e-08 4e-08 
3343.14 -7.5e-09 6.45e-08 
3342.25 -1.35e-08 3.1e-08 
3341.41 2.35e-08 6.05e-08 
3340.68 1.15e-08 2.45e-08 
3340.03 4.3e-08 5.3e-08 
3339.45 1.95e-08 8.65e-08 
3338.91 1.6e-08 3.35e-08 
3338.28 2e-09 7.35e-08 
3337.5 2.9e-08 7.1e-08 
3336.57 -1.7e-08 6.6e-08 
3335.61 2.9e-08 6e-08 
3334.58 -8.5e-09 5.3e-08 
3333.63 3.5e-09 3.55e-08 
3332.91 1e-08 5.7e-08 
3332.18 1.2e-08 3.5e-08 
3331.18 2.2e-08 4.75e-08 
3330.03 2.9e-08 3.95e-08 
3328.83 3e-09 3.55e-08 
3327.63 3.9e-08 4.4e-08 
3326.43 3e-09 7.9e-08 
3325.34 1.05e-08 6.9e-08 
3324.43 0 6.4e-08 
3323.59 0 4.25e-08 
3322.72 1.5e-09 3.6e-08 
3321.9 -4e-09 6.65e-08 
3321.18 -1.4e-08 4.75e-08 
3320.5 5e-09 1.95e-08 
3319.9 -9e-09 4.6e-08 
3319.38 2.35e-08 4.1e-08 
3318.92 -3e-09 3.6e-08 
3318.47 -1.5e-09 4.3e-08 
3318.02 1.2e-08 6.3e-08 
3317.51 3e-08 3.35e-08 
3317.03 1.55e-08 4.8e-08 
3316.46 1.05e-08 3.1e-08 
3315.74 2e-08 8.35e-08 
3314.99 -8.5e-09 3.9e-08 
3314.21 6.5e-09 5.9e-08 
